0,1,2,3,4,5,6,7,8,9,10,11,12,13
"(9, 1)",5,4,4,4,0.1,0.2,0.1,200,1,2,1,3,24.303
"(9, 1)",5,4,4,4,0.2,0.2,0.1,200,1,2,1,3,11.931
"(9, 1)",5,4,4,4,0.1,0.1,0.1,200,2,1,1,3,6.748
"(9, 1)",5,4,4,4,0.2,0.1,0.1,200,2,1,1,3,11.351
"(9, 1)",5,4,4,4,0.1,0.2,0.1,200,2,1,1,3,9.73
"(9, 1)",5,4,4,4,0.2,0.2,0.1,200,2,1,1,3,19.418
"(9, 1)",5,4,4,4,0.1,0.1,0.1,200,2,2,1,3,21.017
"(9, 1)",5,4,4,4,0.2,0.1,0.1,200,2,2,1,3,101.096
"(9, 1)",5,4,4,4,0.1,0.2,0.1,200,2,2,1,3,20.461
"(9, 1)",5,4,4,4,0.2,0.2,0.1,200,2,2,1,3,98.925
"(9, 1)",5,4,4,4,0.1,0.1,0.1,200,1,1,1,5,48.677
"(9, 1)",5,4,4,4,0.2,0.1,0.1,200,1,1,1,5,25.486
"(9, 1)",5,4,4,4,0.1,0.2,0.1,200,1,1,1,5,5.378
"(9, 1)",5,4,4,4,0.2,0.2,0.1,200,1,1,1,5,25.585
"(9, 1)",5,4,4,4,0.1,0.1,0.1,200,1,2,1,5,23.777
"(9, 1)",5,4,4,4,0.2,0.1,0.1,200,1,2,1,5,49.264
"(9, 1)",5,4,4,4,0.1,0.2,0.1,200,1,2,1,5,33.778
"(9, 1)",5,4,4,4,0.2,0.2,0.1,200,1,2,1,5,8.811
"(9, 1)",5,4,4,4,0.1,0.1,0.1,200,2,1,1,5,34.023
"(9, 1)",5,4,4,4,0.2,0.1,0.1,200,2,1,1,5,28.917
"(9, 1)",5,4,4,4,0.1,0.2,0.1,200,2,1,1,5,8.458
"(9, 1)",5,4,4,4,0.2,0.2,0.1,200,2,1,1,5,53.299
"(9, 1)",5,4,4,4,0.1,0.1,0.1,200,2,2,1,5,13.618
"(9, 1)",5,4,4,4,0.2,0.1,0.1,200,2,2,1,5,67.452
"(9, 1)",5,4,4,4,0.1,0.2,0.1,200,2,2,1,5,18.399
"(9, 1)",5,4,4,4,0.2,0.2,0.1,200,2,2,1,5,20.768
