T,tau0,units_per_layer,rnn_func,batch_size,epochs,results
10,7,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,142.434
10,7,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,1.574
10,7,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,5.439
10,7,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,1.704
12,3,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,2.876
12,3,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,3.114
12,3,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,2.101
12,3,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,3.104
12,3,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,3.577
12,3,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,2.6
12,3,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,5.288
12,3,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,1.774
12,3,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,7.398
12,3,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,3.414
12,3,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,5.633
12,3,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,1.745
12,5,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,11.96
12,5,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,2.562
12,5,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,4.162
12,5,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,1.889
12,5,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,3.82
12,5,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,3.823
12,5,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,145.471
12,5,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,141.742
12,5,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,140.982
12,5,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,2.51
12,5,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,3.017
12,5,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,1.369
12,7,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,1.925
12,7,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,1.482
12,7,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,2.753
12,7,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,1.536
12,7,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,1.556
12,7,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,2.039
12,7,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,2.91
12,7,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,1.2
12,7,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,2.197
12,7,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,1.541
12,7,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,2.088
12,7,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,1.646
