T,tau0,units_per_layer,rnn_func,batch_size,epochs,results
8,3,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,14.0525
8,3,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,2.5620000000000003
8,3,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,1.9780000000000002
8,3,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,1.6795
8,3,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,3.2165
8,3,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,3.053
8,3,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,2.7965
8,3,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,3.0700000000000003
8,3,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,8.353
8,3,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,2.755
8,3,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,2.792
8,3,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,1.1415
8,5,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,18.985
8,5,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,1.1075
8,5,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,1.26
8,5,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,5.8885000000000005
8,5,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,6.538
8,5,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,1.2295
8,5,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,6.646000000000001
8,5,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,1.347
8,5,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,2.947
8,5,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,2.0175
8,5,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,3.3884999999999996
8,5,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,2.3795
8,7,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,2.383
8,7,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,2.041
