T,tau0,units_per_layer,rnn_func,batch_size,epochs,results
10,7,"[15, 20]",<class 'keras.layers.rnn.gru.GRU'>,100,500,6.761
12,3,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,5,500,10.215
12,3,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,50,500,2.257
12,3,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,100,500,2.579
12,3,"[10, 15, 20]",<class 'keras.layers.rnn.gru.GRU'>,5,500,24.519
12,3,"[10, 15, 20]",<class 'keras.layers.rnn.gru.GRU'>,50,500,30.486
12,3,"[10, 15, 20]",<class 'keras.layers.rnn.gru.GRU'>,100,500,3.231
12,3,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,5,500,1.579
12,3,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,50,500,3.956
12,3,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,100,500,2.834
12,3,"[15, 20]",<class 'keras.layers.rnn.gru.GRU'>,5,500,22.453
12,3,"[15, 20]",<class 'keras.layers.rnn.gru.GRU'>,50,500,6.787
12,3,"[15, 20]",<class 'keras.layers.rnn.gru.GRU'>,100,500,0.711
12,5,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,5,500,
12,5,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,50,500,
12,5,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,100,500,
12,5,"[10, 15, 20]",<class 'keras.layers.rnn.gru.GRU'>,5,500,
12,5,"[10, 15, 20]",<class 'keras.layers.rnn.gru.GRU'>,50,500,
12,5,"[10, 15, 20]",<class 'keras.layers.rnn.gru.GRU'>,100,500,
12,5,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,5,500,
12,5,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,50,500,
12,5,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,100,500,
12,5,"[15, 20]",<class 'keras.layers.rnn.gru.GRU'>,5,500,
12,5,"[15, 20]",<class 'keras.layers.rnn.gru.GRU'>,50,500,
12,5,"[15, 20]",<class 'keras.layers.rnn.gru.GRU'>,100,500,
12,7,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,5,500,
12,7,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,50,500,
12,7,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,100,500,
12,7,"[10, 15, 20]",<class 'keras.layers.rnn.gru.GRU'>,5,500,
12,7,"[10, 15, 20]",<class 'keras.layers.rnn.gru.GRU'>,50,500,
12,7,"[10, 15, 20]",<class 'keras.layers.rnn.gru.GRU'>,100,500,
12,7,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,5,500,
12,7,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,50,500,
12,7,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,100,500,
12,7,"[15, 20]",<class 'keras.layers.rnn.gru.GRU'>,5,500,
12,7,"[15, 20]",<class 'keras.layers.rnn.gru.GRU'>,50,500,
12,7,"[15, 20]",<class 'keras.layers.rnn.gru.GRU'>,100,500,
