T,tau0,units_per_layer,gru_func,batch_size,epochs,results
8,3,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,5,500,
8,3,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,50,500,
8,3,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,100,500,
8,3,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,5,500,
8,3,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,50,500,
8,3,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,100,500,
8,5,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,5,500,
8,5,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,50,500,
8,5,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,100,500,
8,5,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,5,500,
8,5,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,50,500,
8,5,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,100,500,
10,3,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,5,500,
10,3,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,50,500,
10,3,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,100,500,
10,3,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,5,500,
10,3,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,50,500,
10,3,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,100,500,
10,5,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,5,500,
10,5,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,50,500,
10,5,"[5, 10, 15]",<class 'keras.layers.rnn.gru.GRU'>,100,500,
10,5,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,5,500,
10,5,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,50,500,
10,5,"[10, 15]",<class 'keras.layers.rnn.gru.GRU'>,100,500,
