hyperparameters,evaluation
"(9, 1)",9.753
5,9.753
4,9.753
4,9.753
4,9.753
0.2,9.753
0.1,9.753
0.1,9.753
200,9.753
1,9.753
1,9.753
1,9.753
3,9.753
