hyperparameters,evaluation
"(7, 3)",6.189
5,6.189
4,6.189
4,6.189
4,6.189
0.2,6.189
0.2,6.189
0.1,6.189
200,6.189
1,6.189
2,6.189
1,6.189
5,6.189
