hyperparameters,evaluation
"(9, 1)",13.581
5,13.581
4,13.581
4,13.581
4,13.581
0.2,13.581
0.2,13.581
0.1,13.581
200,13.581
1,13.581
1,13.581
1,13.581
3,13.581
