hyperparameters,evaluation
"(9, 1)",5.378
5,5.378
4,5.378
4,5.378
4,5.378
0.1,5.378
0.2,5.378
0.1,5.378
200,5.378
1,5.378
1,5.378
1,5.378
5,5.378
