hyperparameters,evaluation
"(7, 3)",147.936
5,147.936
4,147.936
4,147.936
4,147.936
0.2,147.936
0.2,147.936
0.2,147.936
1,147.936
1,147.936
1,147.936
1,147.936
3,147.936
