hyperparameters,evaluation
"(7, 3)",246.004
5,246.004
4,246.004
4,246.004
4,246.004
0.2,246.004
0.2,246.004
0.1,246.004
200,246.004
2,246.004
1,246.004
1,246.004
3,246.004
