hyperparameters,evaluation
"(9, 1)",41.928
5,41.928
4,41.928
4,41.928
4,41.928
0.2,41.928
0.2,41.928
0.1,41.928
200,41.928
1,41.928
1,41.928
1,41.928
3,41.928
