hyperparameters,evaluation
"(7, 3)",29.736
5,29.736
4,29.736
4,29.736
4,29.736
0.2,29.736
0.1,29.736
0.1,29.736
200,29.736
2,29.736
1,29.736
1,29.736
3,29.736
