hyperparameters,evaluation
"(7, 1)",25.487
5,25.487
4,25.487
4,25.487
4,25.487
0.1,25.487
0.2,25.487
0.1,25.487
200,25.487
1,25.487
2,25.487
1,25.487
3,25.487
