hyperparameters,evaluation
"(7, 3)",4.286
5,4.286
4,4.286
4,4.286
4,4.286
0.1,4.286
0.1,4.286
0.1,4.286
200,4.286
1,4.286
1,4.286
1,4.286
5,4.286
