hyperparameters,evaluation
"(7, 3)",21.58
5,21.58
4,21.58
4,21.58
4,21.58
0.2,21.58
0.1,21.58
0.1,21.58
200,21.58
2,21.58
1,21.58
1,21.58
3,21.58
