hyperparameters,evaluation
"(7, 3)",245.995
5,245.995
4,245.995
4,245.995
4,245.995
0.2,245.995
0.2,245.995
0.1,245.995
200,245.995
1,245.995
1,245.995
1,245.995
5,245.995
