hyperparameters,evaluation
"(7, 3)",11.109
5,11.109
4,11.109
4,11.109
4,11.109
0.2,11.109
0.1,11.109
0.1,11.109
200,11.109
2,11.109
1,11.109
1,11.109
5,11.109
