hyperparameters,evaluation
"(7, 3)",47.137
5,47.137
4,47.137
4,47.137
4,47.137
0.2,47.137
0.2,47.137
0.1,47.137
200,47.137
1,47.137
2,47.137
1,47.137
3,47.137
