hyperparameters,evaluation
"(7, 3)",3.666
5,3.666
4,3.666
4,3.666
4,3.666
0.2,3.666
0.2,3.666
0.1,3.666
200,3.666
2,3.666
2,3.666
1,3.666
5,3.666
