hyperparameters,evaluation
"(9, 1)",8.458
5,8.458
4,8.458
4,8.458
4,8.458
0.1,8.458
0.2,8.458
0.1,8.458
200,8.458
2,8.458
1,8.458
1,8.458
5,8.458
