hyperparameters,evaluation
"(9, 1)",37.168
5,37.168
4,37.168
4,37.168
4,37.168
0.2,37.168
0.1,37.168
0.1,37.168
200,37.168
1,37.168
1,37.168
1,37.168
3,37.168
