hyperparameters,evaluation
"(9, 1)",42.002
5,42.002
4,42.002
4,42.002
4,42.002
0.1,42.002
0.2,42.002
0.1,42.002
200,42.002
2,42.002
2,42.002
1,42.002
3,42.002
