hyperparameters,evaluation
"(7, 1)",3.038
5,3.038
4,3.038
4,3.038
4,3.038
0.2,3.038
0.2,3.038
0.1,3.038
200,3.038
2,3.038
1,3.038
1,3.038
3,3.038
