hyperparameters,evaluation
"(9, 1)",18.419
5,18.419
4,18.419
4,18.419
4,18.419
0.2,18.419
0.2,18.419
0.1,18.419
200,18.419
1,18.419
1,18.419
1,18.419
3,18.419
