hyperparameters,evaluation
"(7, 3)",100.002
5,100.002
4,100.002
4,100.002
4,100.002
0.2,100.002
0.2,100.002
0.2,100.002
1,100.002
1,100.002
1,100.002
1,100.002
7,100.002
