hyperparameters,evaluation
"(7, 1)",4.293
5,4.293
4,4.293
4,4.293
4,4.293
0.1,4.293
0.2,4.293
0.1,4.293
200,4.293
2,4.293
1,4.293
1,4.293
3,4.293
