hyperparameters,evaluation
"(9, 1)",34.023
5,34.023
4,34.023
4,34.023
4,34.023
0.1,34.023
0.1,34.023
0.1,34.023
200,34.023
2,34.023
1,34.023
1,34.023
5,34.023
