hyperparameters,evaluation
"(7, 3)",5.774
5,5.774
4,5.774
4,5.774
4,5.774
0.2,5.774
0.2,5.774
0.1,5.774
200,5.774
1,5.774
1,5.774
1,5.774
3,5.774
