hyperparameters,evaluation
"(9, 1)",14.866
5,14.866
4,14.866
4,14.866
4,14.866
0.2,14.866
0.1,14.866
0.1,14.866
200,14.866
1,14.866
2,14.866
1,14.866
5,14.866
