hyperparameters,evaluation
"(7, 3)",27.834
5,27.834
4,27.834
4,27.834
4,27.834
0.2,27.834
0.1,27.834
0.1,27.834
200,27.834
2,27.834
2,27.834
1,27.834
3,27.834
