hyperparameters,evaluation
"(7, 3)",37.335
5,37.335
4,37.335
4,37.335
4,37.335
0.1,37.335
0.2,37.335
0.1,37.335
200,37.335
1,37.335
1,37.335
1,37.335
5,37.335
